,signal_type,region,region_name,endpoint,model,data_start,train_start,train_end,type
94,co2_moer,ERCOT_NORTHCENTRAL,ERCOT North Central,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
95,co2_moer,ERCOT_NORTHCENTRAL,ERCOT North Central,v3/forecast,2023-03-01,2023-01-01,2021-01-01,2023-01-01,
96,co2_moer,ERCOT_PANHANDLE,ERCOT Northern Panhandle,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
97,co2_moer,ERCOT_PANHANDLE,ERCOT Northern Panhandle,v3/historical,2023-03-01,2021-08-01,2021-01-01,2023-03-01,binned_regression
98,co2_moer,ERCOT_PANHANDLE,ERCOT Northern Panhandle,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
99,co2_moer,ERCOT_PANHANDLE,ERCOT Northern Panhandle,v3/forecast,2023-03-01,2023-01-01,2021-01-01,2023-01-01,
100,co2_moer,ERCOT_SANANTONIO,ERCOT San Antonio,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
101,co2_moer,ERCOT_SANANTONIO,ERCOT San Antonio,v3/historical,2023-03-01,2021-08-01,2021-01-01,2023-03-01,binned_regression
102,co2_moer,ERCOT_SANANTONIO,ERCOT San Antonio,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
103,co2_moer,ERCOT_SANANTONIO,ERCOT San Antonio,v3/forecast,2023-03-01,2023-01-01,2021-01-01,2023-01-01,
104,co2_moer,ERCOT_SECOAST,ERCOT South Eastern Coast,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
105,co2_moer,ERCOT_SECOAST,ERCOT South Eastern Coast,v3/historical,2023-03-01,2021-08-01,2021-01-01,2023-03-01,binned_regression
106,co2_moer,ERCOT_SECOAST,ERCOT South Eastern Coast,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
107,co2_moer,ERCOT_SECOAST,ERCOT South Eastern Coast,v3/forecast,2023-03-01,2023-01-01,2021-01-01,2023-01-01,
108,co2_moer,ERCOT_SOUTHTX,ERCOT South Texas,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
109,co2_moer,ERCOT_SOUTHTX,ERCOT South Texas,v3/historical,2023-03-01,2021-08-01,2021-01-01,2023-03-01,binned_regression
110,co2_moer,ERCOT_SOUTHTX,ERCOT South Texas,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
111,co2_moer,ERCOT_SOUTHTX,ERCOT South Texas,v3/forecast,2023-03-01,2023-01-01,2021-01-01,2023-01-01,
112,co2_moer,ERCOT_WESTTX,ERCOT West Texas,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
113,co2_moer,ERCOT_WESTTX,ERCOT West Texas,v3/historical,2023-03-01,2021-08-01,2021-01-01,2023-03-01,binned_regression
114,co2_moer,ERCOT_WESTTX,ERCOT West Texas,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
115,co2_moer,ERCOT_WESTTX,ERCOT West Texas,v3/forecast,2023-03-01,2023-01-01,2021-01-01,2023-01-01,
122,co2_moer,FMPP,Florida Municipal Power Pool,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
123,co2_moer,FMPP,Florida Municipal Power Pool,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
124,co2_moer,FPC,Duke Energy Florida,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
125,co2_moer,FPC,Duke Energy Florida,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
126,co2_moer,FPL,Florida Power & Light,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
127,co2_moer,FPL,Florida Power & Light,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
136,co2_moer,GVL,Gainesville Regional Utilities,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
137,co2_moer,GVL,Gainesville Regional Utilities,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
160,co2_moer,IID,Imperial Irrigation District,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
161,co2_moer,IID,Imperial Irrigation District,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
164,co2_moer,IPCO,Idaho Power Co,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
165,co2_moer,IPCO,Idaho Power Co,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
166,co2_moer,ISONE_CT,ISONE Connecticut,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
167,co2_moer,ISONE_CT,ISONE Connecticut,v3/historical,2023-03-01,2021-08-01,2021-01-01,2023-03-01,binned_regression
168,co2_moer,ISONE_CT,ISONE Connecticut,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
169,co2_moer,ISONE_CT,ISONE Connecticut,v3/forecast,2023-03-01,2023-01-01,2021-01-01,2023-01-01,
170,co2_moer,ISONE_ME,ISONE Maine,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
171,co2_moer,ISONE_ME,ISONE Maine,v3/historical,2023-03-01,2021-08-01,2021-01-01,2023-03-01,binned_regression
172,co2_moer,ISONE_ME,ISONE Maine,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
173,co2_moer,ISONE_ME,ISONE Maine,v3/forecast,2023-03-01,2023-01-01,2021-01-01,2023-01-01,
174,co2_moer,ISONE_NEMA,ISONE Northeast Massachusetts,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
175,co2_moer,ISONE_NEMA,ISONE Northeast Massachusetts,v3/historical,2023-03-01,2021-08-01,2021-01-01,2023-03-01,binned_regression
176,co2_moer,ISONE_NEMA,ISONE Northeast Massachusetts,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
177,co2_moer,ISONE_NEMA,ISONE Northeast Massachusetts,v3/forecast,2023-03-01,2023-01-01,2021-01-01,2023-01-01,
178,co2_moer,ISONE_NH,ISONE New Hampshire,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
179,co2_moer,ISONE_NH,ISONE New Hampshire,v3/historical,2023-03-01,2021-08-01,2021-01-01,2023-03-01,binned_regression
180,co2_moer,ISONE_NH,ISONE New Hampshire,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
181,co2_moer,ISONE_NH,ISONE New Hampshire,v3/forecast,2023-03-01,2023-01-01,2021-01-01,2023-01-01,
182,co2_moer,ISONE_RI,ISONE Rhode Island,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
183,co2_moer,ISONE_RI,ISONE Rhode Island,v3/historical,2023-03-01,2021-08-01,2021-01-01,2023-03-01,binned_regression
184,co2_moer,ISONE_RI,ISONE Rhode Island,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
185,co2_moer,ISONE_RI,ISONE Rhode Island,v3/forecast,2023-03-01,2023-01-01,2021-01-01,2023-01-01,
186,co2_moer,ISONE_SEMA,ISONE Southeast Massachusetts,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
187,co2_moer,ISONE_SEMA,ISONE Southeast Massachusetts,v3/historical,2023-03-01,2021-08-01,2021-01-01,2023-03-01,binned_regression
188,co2_moer,ISONE_SEMA,ISONE Southeast Massachusetts,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
189,co2_moer,ISONE_SEMA,ISONE Southeast Massachusetts,v3/forecast,2023-03-01,2023-01-01,2021-01-01,2023-01-01,
190,co2_moer,ISONE_VT,ISONE Vermont,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
191,co2_moer,ISONE_VT,ISONE Vermont,v3/historical,2023-03-01,2021-08-01,2021-01-01,2023-03-01,binned_regression
192,co2_moer,ISONE_VT,ISONE Vermont,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
193,co2_moer,ISONE_VT,ISONE Vermont,v3/forecast,2023-03-01,2023-01-01,2021-01-01,2023-01-01,
194,co2_moer,ISONE_WCMA,ISONE Western/Central Massachusetts,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
195,co2_moer,ISONE_WCMA,ISONE Western/Central Massachusetts,v3/historical,2023-03-01,2021-08-01,2021-01-01,2023-03-01,binned_regression
196,co2_moer,ISONE_WCMA,ISONE Western/Central Massachusetts,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
197,co2_moer,ISONE_WCMA,ISONE Western/Central Massachusetts,v3/forecast,2023-03-01,2023-01-01,2021-01-01,2023-01-01,
200,co2_moer,JEA,JEA Jacksonville Florida,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
201,co2_moer,JEA,JEA Jacksonville Florida,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
224,co2_moer,LDWP,Los Angeles Dept of Water & Power,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
225,co2_moer,LDWP,Los Angeles Dept of Water & Power,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
226,co2_moer,LGEE,Louisville Gas & Electric Co,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
227,co2_moer,LGEE,Louisville Gas & Electric Co,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
252,co2_moer,MISO_INDIANAPOLIS,MISO Indianapolis,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
253,co2_moer,MISO_INDIANAPOLIS,MISO Indianapolis,v3/historical,2023-03-01,2021-08-01,2021-01-01,2023-03-01,binned_regression
254,co2_moer,MISO_INDIANAPOLIS,MISO Indianapolis,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
255,co2_moer,MISO_INDIANAPOLIS,MISO Indianapolis,v3/forecast,2023-03-01,2023-01-01,2021-01-01,2023-01-01,
256,co2_moer,MISO_INDIANAPOLIS,MISO Indianapolis,v3/forecast,2023-09-13,2023-08-01,2022-01-01,2023-08-01,
287,co2_moer,MISO_N_DAKOTA,MISO North Dakota,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
288,co2_moer,MISO_N_DAKOTA,MISO North Dakota,v3/historical,2023-03-01,2021-08-01,2021-01-01,2023-03-01,binned_regression
289,co2_moer,MISO_N_DAKOTA,MISO North Dakota,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
290,co2_moer,MISO_N_DAKOTA,MISO North Dakota,v3/forecast,2023-03-01,2023-01-01,2021-01-01,2023-01-01,
291,co2_moer,MISO_N_DAKOTA,MISO North Dakota,v3/forecast,2023-09-13,2023-08-01,2022-01-01,2023-08-01,
312,co2_moer,MPCO,Northwestern Energy,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
313,co2_moer,MPCO,Northwestern Energy,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
338,co2_moer,NEVP,Nevada Power Co,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
339,co2_moer,NEVP,Nevada Power Co,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
372,co2_moer,NYISO_NYC,NYISO New York City,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
373,co2_moer,NYISO_NYC,NYISO New York City,v3/historical,2023-03-01,2021-03-01,2021-01-01,2023-03-01,binned_regression
374,co2_moer,NYISO_NYC,NYISO New York City,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
375,co2_moer,NYISO_NYC,NYISO New York City,v3/forecast,2023-03-01,2023-01-01,2021-01-01,2023-01-01,
380,co2_moer,PACE,PacifiCorp East,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
381,co2_moer,PACE,PacifiCorp East,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
382,co2_moer,PACW,PacifiCorp West,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
383,co2_moer,PACW,PacifiCorp West,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
386,co2_moer,PGE,Portland General Electric,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
387,co2_moer,PGE,Portland General Electric,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
398,co2_moer,PJM_EASTERN_KY,PJM Eastern Kentucky,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
399,co2_moer,PJM_EASTERN_KY,PJM Eastern Kentucky,v3/historical,2023-03-01,2021-08-01,2021-01-01,2023-03-01,binned_regression
400,co2_moer,PJM_EASTERN_KY,PJM Eastern Kentucky,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
401,co2_moer,PJM_EASTERN_KY,PJM Eastern Kentucky,v3/forecast,2023-03-01,2023-01-01,2021-01-01,2023-01-01,
402,co2_moer,PJM_EASTERN_OH,PJM Eastern Ohio,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
403,co2_moer,PJM_EASTERN_OH,PJM Eastern Ohio,v3/historical,2023-03-01,2021-08-01,2021-01-01,2023-03-01,binned_regression
404,co2_moer,PJM_EASTERN_OH,PJM Eastern Ohio,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
405,co2_moer,PJM_EASTERN_OH,PJM Eastern Ohio,v3/forecast,2023-03-01,2023-01-01,2021-01-01,2023-01-01,
406,co2_moer,PJM_NJ,PJM New Jersey,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
407,co2_moer,PJM_NJ,PJM New Jersey,v3/historical,2023-03-01,2021-08-01,2021-01-01,2023-03-01,binned_regression
408,co2_moer,PJM_NJ,PJM New Jersey,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
409,co2_moer,PJM_NJ,PJM New Jersey,v3/forecast,2023-03-01,2023-01-01,2021-01-01,2023-01-01,
414,co2_moer,PJM_SOUTHWEST_OH,PJM Southwest Ohio,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
415,co2_moer,PJM_SOUTHWEST_OH,PJM Southwest Ohio,v3/historical,2023-03-01,2021-08-01,2021-01-01,2023-03-01,binned_regression
416,co2_moer,PJM_SOUTHWEST_OH,PJM Southwest Ohio,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
417,co2_moer,PJM_SOUTHWEST_OH,PJM Southwest Ohio,v3/forecast,2023-03-01,2023-01-01,2021-01-01,2023-01-01,
418,co2_moer,PJM_WESTERN_KY,PJM Western Kentucky,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
419,co2_moer,PJM_WESTERN_KY,PJM Western Kentucky,v3/historical,2023-03-01,2021-08-01,2021-01-01,2023-03-01,binned_regression
420,co2_moer,PJM_WESTERN_KY,PJM Western Kentucky,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
421,co2_moer,PJM_WESTERN_KY,PJM Western Kentucky,v3/forecast,2023-03-01,2023-01-01,2021-01-01,2023-01-01,
424,co2_moer,PNM,Public Service Co of New Mexico,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
425,co2_moer,PNM,Public Service Co of New Mexico,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
426,co2_moer,PSCO,Public Service Co of Colorado,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
427,co2_moer,PSCO,Public Service Co of Colorado,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
428,co2_moer,PSEI,Puget Sound Energy Inc,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
429,co2_moer,PSEI,Puget Sound Energy Inc,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
438,co2_moer,SC,South Carolina Public Service Authority,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
439,co2_moer,SC,South Carolina Public Service Authority,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
440,co2_moer,SCEG,Dominion Energy South Carolina,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
441,co2_moer,SCEG,Dominion Energy South Carolina,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
442,co2_moer,SCL,Seattle City Light,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
443,co2_moer,SCL,Seattle City Light,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
446,co2_moer,SEC,Seminole Electric Cooperative,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
447,co2_moer,SEC,Seminole Electric Cooperative,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
454,co2_moer,SOCO,Southern Co Services Inc,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
455,co2_moer,SOCO,Southern Co Services Inc,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
456,co2_moer,SPA,Southwestern Power Administration,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
457,co2_moer,SPA,Southwestern Power Administration,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
458,co2_moer,SPP_FORTPECK,SPP Fort Peck Reservation,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
459,co2_moer,SPP_FORTPECK,SPP Fort Peck Reservation,v3/historical,2023-03-01,2021-08-01,2021-01-01,2023-03-01,binned_regression
460,co2_moer,SPP_FORTPECK,SPP Fort Peck Reservation,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
461,co2_moer,SPP_FORTPECK,SPP Fort Peck Reservation,v3/forecast,2023-03-01,2023-01-01,2021-01-01,2023-01-01,
462,co2_moer,SPP_KANSAS,SPP Kansas,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
463,co2_moer,SPP_KANSAS,SPP Kansas,v3/historical,2023-03-01,2021-08-01,2021-01-01,2023-03-01,binned_regression
464,co2_moer,SPP_KANSAS,SPP Kansas,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
